,churn_probability,pred_churn,CustomerID,Contract,PaymentMethod,MonthlyCharges,TotalCharges,tenure,SeniorCitizen
886,0.9822410531384496,1,5178-LMXOP,Month-to-month,Electronic check,95.1,95.1,1,1
590,0.9766481872729834,1,7181-BQYBV,Month-to-month,Electronic check,102.45,102.45,1,0
1818,0.9766278655427761,1,0295-PPHDO,Month-to-month,Electronic check,95.45,95.45,1,0
1203,0.9671686288571654,1,1069-XAIEM,Month-to-month,Electronic check,85.05,85.05,1,1
623,0.96707115132183,1,3722-WPXTK,Month-to-month,Electronic check,88.35,88.35,1,0
1135,0.9667970880226611,1,1455-ESIQH,Month-to-month,Electronic check,89.1,89.1,1,0
158,0.966631594112832,1,0970-ETWGE,Month-to-month,Electronic check,89.55,89.55,1,0
991,0.966013943487246,1,0684-AOSIH,Month-to-month,Electronic check,95.0,95.0,1,0
5906,0.9625509879380211,1,4912-PIGUY,Month-to-month,Electronic check,84.6,84.6,1,0
598,0.9623930032618254,1,7180-PISOG,Month-to-month,Electronic check,74.5,74.5,1,0
3732,0.9579508399767381,1,4927-WWOOZ,Month-to-month,Electronic check,91.45,171.45,2,0
129,0.9549486121476953,1,7218-HKQFK,Month-to-month,Electronic check,94.2,167.5,2,0
1782,0.95417155185584,1,6230-BSUXY,Month-to-month,Electronic check,85.0,85.0,1,1
565,0.9511613089759673,1,9787-XVQIU,Month-to-month,Electronic check,75.3,75.3,1,0
1756,0.9511294191519997,1,9248-OJYKK,Month-to-month,Electronic check,76.45,76.45,1,1
719,0.9508790501792705,1,6857-VWJDT,Month-to-month,Mailed check,95.65,95.65,1,0
6213,0.9508224681619438,1,1628-BIZYP,Month-to-month,Electronic check,85.0,85.0,1,0
98,0.950406116727546,1,5167-ZFFMM,Month-to-month,Credit card (automatic),90.85,90.85,1,0
172,0.9501558872102377,1,1448-PWKYE,Month-to-month,Electronic check,80.0,80.0,1,0
1570,0.950012691139976,1,2202-CUYXZ,Month-to-month,Electronic check,84.85,84.85,1,0
492,0.9498046870419913,1,6474-FVJLC,Month-to-month,Electronic check,86.0,165.45,2,0
1760,0.9492964884036974,1,4415-IJZTP,Month-to-month,Electronic check,74.5,74.5,1,0
579,0.948811159790708,1,2514-GINMM,Month-to-month,Electronic check,79.5,79.5,1,0
